Date: 2023-10-29 11:25:34s, Time_Cost: 104s, Epoch: [1/100],Val_PSNR: 28.86, Val_SSIM: 0.9434
Date: 2023-10-29 11:27:11s, Time_Cost: 98s, Epoch: [2/100],Val_PSNR: 35.34, Val_SSIM: 0.9937
Date: 2023-10-29 11:28:52s, Time_Cost: 101s, Epoch: [3/100],Val_PSNR: 37.14, Val_SSIM: 0.9960
Date: 2023-10-29 11:30:30s, Time_Cost: 98s, Epoch: [4/100],Val_PSNR: 38.53, Val_SSIM: 0.9971
Date: 2023-10-29 11:32:08s, Time_Cost: 98s, Epoch: [5/100],Val_PSNR: 39.29, Val_SSIM: 0.9977
Date: 2023-10-29 11:33:46s, Time_Cost: 98s, Epoch: [6/100],Val_PSNR: 40.14, Val_SSIM: 0.9981
Date: 2023-10-29 11:35:24s, Time_Cost: 98s, Epoch: [7/100],Val_PSNR: 40.82, Val_SSIM: 0.9984
Date: 2023-10-29 11:37:02s, Time_Cost: 98s, Epoch: [8/100],Val_PSNR: 41.72, Val_SSIM: 0.9986
Date: 2023-10-29 11:38:40s, Time_Cost: 97s, Epoch: [9/100],Val_PSNR: 41.76, Val_SSIM: 0.9988
Date: 2023-10-29 11:40:18s, Time_Cost: 98s, Epoch: [10/100],Val_PSNR: 42.39, Val_SSIM: 0.9989
Date: 2023-10-29 11:41:55s, Time_Cost: 98s, Epoch: [11/100],Val_PSNR: 42.73, Val_SSIM: 0.9991
Date: 2023-10-29 11:43:33s, Time_Cost: 98s, Epoch: [12/100],Val_PSNR: 43.01, Val_SSIM: 0.9991
Date: 2023-10-29 11:45:11s, Time_Cost: 98s, Epoch: [13/100],Val_PSNR: 43.62, Val_SSIM: 0.9992
Date: 2023-10-29 11:46:49s, Time_Cost: 98s, Epoch: [14/100],Val_PSNR: 43.48, Val_SSIM: 0.9993
Date: 2023-10-29 11:48:27s, Time_Cost: 98s, Epoch: [15/100],Val_PSNR: 44.27, Val_SSIM: 0.9994
Date: 2023-10-29 11:50:05s, Time_Cost: 98s, Epoch: [16/100],Val_PSNR: 44.48, Val_SSIM: 0.9994
Date: 2023-10-29 11:51:42s, Time_Cost: 98s, Epoch: [17/100],Val_PSNR: 44.65, Val_SSIM: 0.9994
Date: 2023-10-29 11:53:20s, Time_Cost: 98s, Epoch: [18/100],Val_PSNR: 44.95, Val_SSIM: 0.9995
Date: 2023-10-29 11:54:58s, Time_Cost: 97s, Epoch: [19/100],Val_PSNR: 44.98, Val_SSIM: 0.9995
Date: 2023-10-29 11:56:35s, Time_Cost: 98s, Epoch: [20/100],Val_PSNR: 45.24, Val_SSIM: 0.9995
Date: 2023-10-29 11:58:13s, Time_Cost: 98s, Epoch: [21/100],Val_PSNR: 45.93, Val_SSIM: 0.9996
Date: 2023-10-29 11:59:51s, Time_Cost: 98s, Epoch: [22/100],Val_PSNR: 45.50, Val_SSIM: 0.9995
Date: 2023-10-29 12:01:28s, Time_Cost: 97s, Epoch: [23/100],Val_PSNR: 45.66, Val_SSIM: 0.9996
Date: 2023-10-29 12:03:06s, Time_Cost: 98s, Epoch: [24/100],Val_PSNR: 46.13, Val_SSIM: 0.9996
Date: 2023-10-29 12:04:44s, Time_Cost: 98s, Epoch: [25/100],Val_PSNR: 46.20, Val_SSIM: 0.9996
Date: 2023-10-29 12:06:21s, Time_Cost: 97s, Epoch: [26/100],Val_PSNR: 46.30, Val_SSIM: 0.9996
Date: 2023-10-29 12:07:58s, Time_Cost: 97s, Epoch: [27/100],Val_PSNR: 46.44, Val_SSIM: 0.9997
Date: 2023-10-29 12:09:36s, Time_Cost: 98s, Epoch: [28/100],Val_PSNR: 46.60, Val_SSIM: 0.9997
Date: 2023-10-29 12:11:17s, Time_Cost: 101s, Epoch: [29/100],Val_PSNR: 46.77, Val_SSIM: 0.9997
Date: 2023-10-29 12:12:57s, Time_Cost: 100s, Epoch: [30/100],Val_PSNR: 46.76, Val_SSIM: 0.9997
Date: 2023-10-29 12:14:36s, Time_Cost: 99s, Epoch: [31/100],Val_PSNR: 47.34, Val_SSIM: 0.9997
Date: 2023-10-29 12:16:15s, Time_Cost: 99s, Epoch: [32/100],Val_PSNR: 47.49, Val_SSIM: 0.9997
Date: 2023-10-29 12:17:52s, Time_Cost: 97s, Epoch: [33/100],Val_PSNR: 47.06, Val_SSIM: 0.9997
Date: 2023-10-29 12:19:29s, Time_Cost: 97s, Epoch: [34/100],Val_PSNR: 47.67, Val_SSIM: 0.9997
Date: 2023-10-29 12:21:06s, Time_Cost: 97s, Epoch: [35/100],Val_PSNR: 47.68, Val_SSIM: 0.9997
Date: 2023-10-29 12:22:43s, Time_Cost: 97s, Epoch: [36/100],Val_PSNR: 47.59, Val_SSIM: 0.9997
Date: 2023-10-29 12:24:20s, Time_Cost: 97s, Epoch: [37/100],Val_PSNR: 47.81, Val_SSIM: 0.9998
Date: 2023-10-29 12:25:57s, Time_Cost: 97s, Epoch: [38/100],Val_PSNR: 47.83, Val_SSIM: 0.9998
Date: 2023-10-29 12:27:34s, Time_Cost: 97s, Epoch: [39/100],Val_PSNR: 48.20, Val_SSIM: 0.9998
Date: 2023-10-29 12:29:11s, Time_Cost: 97s, Epoch: [40/100],Val_PSNR: 48.19, Val_SSIM: 0.9998
Date: 2023-10-29 12:30:47s, Time_Cost: 97s, Epoch: [41/100],Val_PSNR: 48.35, Val_SSIM: 0.9998
Date: 2023-10-29 12:32:24s, Time_Cost: 97s, Epoch: [42/100],Val_PSNR: 48.79, Val_SSIM: 0.9998
Date: 2023-10-29 12:34:01s, Time_Cost: 97s, Epoch: [43/100],Val_PSNR: 48.56, Val_SSIM: 0.9998
Date: 2023-10-29 12:35:38s, Time_Cost: 97s, Epoch: [44/100],Val_PSNR: 48.40, Val_SSIM: 0.9998
Date: 2023-10-29 12:37:15s, Time_Cost: 97s, Epoch: [45/100],Val_PSNR: 48.25, Val_SSIM: 0.9998
Date: 2023-10-29 12:38:52s, Time_Cost: 97s, Epoch: [46/100],Val_PSNR: 48.52, Val_SSIM: 0.9998
Date: 2023-10-29 12:40:28s, Time_Cost: 97s, Epoch: [47/100],Val_PSNR: 48.44, Val_SSIM: 0.9997
Date: 2023-10-29 12:42:05s, Time_Cost: 97s, Epoch: [48/100],Val_PSNR: 49.09, Val_SSIM: 0.9998
Date: 2023-10-29 12:43:42s, Time_Cost: 97s, Epoch: [49/100],Val_PSNR: 48.48, Val_SSIM: 0.9998
Date: 2023-10-29 12:45:19s, Time_Cost: 97s, Epoch: [50/100],Val_PSNR: 49.08, Val_SSIM: 0.9998
Date: 2023-10-29 12:46:55s, Time_Cost: 97s, Epoch: [51/100],Val_PSNR: 49.00, Val_SSIM: 0.9998
Date: 2023-10-29 12:48:32s, Time_Cost: 97s, Epoch: [52/100],Val_PSNR: 49.46, Val_SSIM: 0.9998
Date: 2023-10-29 12:50:09s, Time_Cost: 97s, Epoch: [53/100],Val_PSNR: 49.44, Val_SSIM: 0.9998
Date: 2023-10-29 12:51:46s, Time_Cost: 97s, Epoch: [54/100],Val_PSNR: 49.99, Val_SSIM: 0.9999
Date: 2023-10-29 12:53:23s, Time_Cost: 97s, Epoch: [55/100],Val_PSNR: 49.89, Val_SSIM: 0.9998
